StudentID,Course Id,Instructor id,Prior Course Grade,Assignment1,Assignment2,Exam,Exam  grades,WEEK1(online libray usage),Average1,Week2(online library usage),Average 2,Week3(Online library usage),Average3,Week(Online library usage),Average4,Week5(Online library usage),Average5,week6(Online library usage),Average 6,week7(Online library usage),Average7,Week1(Library visit),,week2(Library visit),,week3(Library visit),,week4(Library visit),,week5(Library visit),,week6(Library visit),,week7(Library visit),,Quiz attempts,Week1(Engagement Rating),Average,Week2(Engagement Rating),Average,Week3(Engagement Rating),Average,Week4(Engagement Rating),Average,Week5(Engagement Rating),Average,Week6(Engagement Rating),Average,Week7(Engagement Rating),Average,Course access week1,Activity Behaviour1 ,Course access week2,Activity behaviour 2,course access week3,Activity behaviour3,course access week4,Activity behaviour 4,course accessweek5,Activity behaviour week5,course accessweek6,Activity behaviour Week6,courseaccessweek7,Activity Behaviour 7,Assignment 1,Assignment submitted,Assignment 2,Assignment 2
11904,161.322,123456,0.77,0.6,0.4,0.37,High risk,3,3.82,1,4.21,4,3.9,3,4.28,7,4.17,3,4.05,7,3.94,5,3.2,7,3.91,2,3.61,2,3.48,1,3.64,1,3.51,0,3.66,5,2.9,5.7,6.9,7.4,8,5.7,8.3,6.1,9.4,6.8,9,6.2,0.7,4.4,6,Very active,3,Active,5,Active,2,lessactive,6,Very active,6,Very Active,5,Active,1,7/28/2016,1,8/25/2016
11986,161.322,123456,0.44,0.8,0.61,0.52,High risk,1,3.82,2,4.21,2,3.9,6,4.28,5,4.17,3,4.05,7,3.94,2,3.2,4,3.91,2,3.61,5,3.48,1,3.64,2,3.51,3,3.66,1,9.3,5.7,5,7.4,9.4,5.7,2.4,6.1,2.2,6.8,5.7,6.2,1.8,4.4,3,Active,8,Very active,9,Veryactive,7,Veryactive,2,Less Active,2,Less Active,9,Very Active,1,7/16/2016,1,8/22/2016
11907,161.322,123456,0.52,1,0.51,0.08,High risk,5,3.82,6,4.21,2,3.9,4,4.28,4,4.17,1,4.05,3,3.94,3,3.2,0,3.91,6,3.61,3,3.48,2,3.64,6,3.51,4,3.66,3,2.5,5.7,2.8,7.4,3.2,5.7,2.9,6.1,7.8,6.8,4.6,6.2,4.4,4.4,7,Very active,2,Active,9,Veryactive,3,active,9,Very active,6,Very Active,9,Very Active,1,7/18/2016,1,8/31/2016
11946,161.322,123456,0.7,0.6,0.35,0.35,High risk,6,3.82,6,4.21,2,3.9,2,4.28,1,4.17,7,4.05,7,3.94,3,3.2,1,3.91,4,3.61,4,3.48,2,3.64,6,3.51,1,3.66,1,6.4,5.7,0.8,7.4,4.1,5.7,8.9,6.1,0,6.8,3.4,6.2,9.2,4.4,8,Very active,3,Active,9,Veryactive,7,Veryactive,4,Active,4,Active,1,Less Active,1,7/19/2016,1,8/20/2016
11969,161.322,123456,0.32,0.5,0.31,0.43,High risk,2,3.82,4,4.21,4,3.9,4,4.28,3,4.17,1,4.05,7,3.94,2,3.2,3,3.91,0,3.61,4,3.48,7,3.64,1,3.51,5,3.66,2,4.1,5.7,1.2,7.4,4.6,5.7,8.6,6.1,8.7,6.8,1.9,6.2,8.9,4.4,8,Very active,1,Active,6,Veryactive,6,Veryactive,5,Active,9,Very Active,9,Very Active,1,7/17/2016,1,8/21/2016
11939,161.322,123456,0.95,0.8,0.35,0.48,High risk,3,3.82,1,4.21,6,3.9,2,4.28,7,4.17,6,4.05,6,3.94,1,3.2,4,3.91,7,3.61,1,3.48,5,3.64,1,3.51,2,3.66,1,2.1,5.7,3.3,7.4,7.5,5.7,6.1,6.1,4.5,6.8,2.3,6.2,2.3,4.4,8,Very active,1,Active,7,Veryactive,2,lessactive,5,Active,2,Less Active,3,Active,1,7/17/2016,1,8/28/2016
11930,161.322,123456,0.2,0.7,0.36,0.48,High risk,3,3.82,2,4.21,7,3.9,2,4.28,5,4.17,7,4.05,6,3.94,0,3.2,5,3.91,3,3.61,1,3.48,2,3.64,5,3.51,0,3.66,4,2,5.7,8.5,7.4,2.7,5.7,2,6.1,0.2,6.8,0,6.2,7.6,4.4,6,Very active,2,Active,3,Active,5,active,1,Less Active,1,Less Active,8,Very Active,1,7/27/2016,1,8/20/2016
11972,161.322,123456,0.29,0.9,0.49,0.57,High risk,5,3.82,4,4.21,5,3.9,4,4.28,3,4.17,3,4.05,6,3.94,0,3.2,5,3.91,0,3.61,3,3.48,6,3.64,6,3.51,6,3.66,5,5.1,5.7,5.6,7.4,6.4,5.7,5.1,6.1,2.1,6.8,3.8,6.2,1.4,4.4,3,Active,5,Active,7,Veryactive,6,Veryactive,2,Less Active,2,Less Active,1,Less Active,1,7/14/2016,1,8/30/2016
12004,161.322,123456,0.06,0.8,0.5,0.57,High risk,2,3.82,3,4.21,7,3.9,2,4.28,1,4.17,6,4.05,4,3.94,3,3.2,2,3.91,7,3.61,5,3.48,2,3.64,5,3.51,7,3.66,3,2.8,5.7,7.6,7.4,4.9,5.7,7.8,6.1,1,6.8,8.4,6.2,3.3,4.4,9,Very active,1,Active,8,Veryactive,3,active,6,Very active,2,Less Active,2,Less Active,1,7/27/2016,1,8/31/2016
11872,161.322,123456,0.19,0.6,0.53,0.57,High risk,1,3.82,1,4.21,4,3.9,3,4.28,2,4.17,4,4.05,6,3.94,6,3.2,2,3.91,6,3.61,0,3.48,7,3.64,0,3.51,3,3.66,5,9.7,5.7,1.2,7.4,0.9,5.7,2,6.1,9.5,6.8,5.5,6.2,7.7,4.4,3,Active,2,Active,6,Veryactive,8,Veryactive,4,Active,2,Less Active,7,Very Active,1,7/26/2016,1,8/20/2016
